#{"t_start": 1681158059.0414267, "env_id": null}
r,l,t
-3.8826299,6,1.781004
-4.338938,6,1.781004
2.1709058,6,1.781004
-0.6342238,6,1.781004
-1.1664124,6,1.781004
-4.177211,6,1.781004
-4.7959733,6,1.781004
-3.444599,6,3.035002
-2.7579987,6,3.035002
-2.6075082,6,3.035002
-3.270395,6,3.035002
-0.8041822,6,3.035002
-2.263234,6,4.072003
-0.35649747,6,4.072003
-3.663141,6,4.072003
-1.8125793,6,4.072003
-1.4745684,6,4.072003
0.6425634,6,5.133999
0.3450902,6,5.133999
-2.1203256,6,5.133999
-0.49714667,6,5.133999
-2.9546766,6,6.223002
-1.4466599,6,6.223002
-1.0093516,6,6.223002
-1.4941549,6,7.314001
-0.09659992,6,7.314001
-2.4470916,6,7.314001
-0.035870522,13,7.543005
-1.9964237,20,7.734001
-0.10504408,6,8.481
-1.5951903,6,8.481
-1.3300333,6,8.482003
-0.45522377,6,8.870001
-2.97224,6,9.588001
-2.5447536,6,9.588001
-0.8391795,6,9.588001
-0.7372795,6,9.922
-1.956408,6,10.640001
-2.0978138,6,10.641001
-2.7961802,6,10.641001
-2.6065671,6,10.972001
-1.909188,6,11.603001
-0.45874497,6,11.937
-0.91644067,6,12.585002
-1.1605192,6,13.629001
-0.52976763,6,14.783003
0.77378875,25,14.982003
-1.309522,6,15.853004
-0.96910334,6,16.052007
-1.2014638,6,16.921
-1.2349889,6,17.195006
-1.3423742,6,18.033002
-0.404165,6,18.249007
1.646639,100,18.716002
-0.59080553,6,63.032005
-1.0394199,6,63.181003
-3.669128,100,63.597
-0.9877933,6,63.597
-9.211541,100,63.597
0.1763367,6,64.006001
-1.1344137,6,64.475
-0.8091933,6,64.475
-0.83968,6,64.475
-0.86708456,6,65.308001
-0.9628215,6,65.308001
-1.4021686,6,66.110001
-0.010747965,6,66.110001
-1.0057707,6,66.874
0.0480255,6,66.874
0.22099656,6,67.674
4.293301,100,67.815004
-1.156524,10,68.217
-1.319271,6,68.585002
-1.2910249,6,68.971002
-0.7345146,6,69.361
-0.5021519,6,69.749004
-0.30595306,100,70.021
-0.4677398,6,70.163005
-0.51249063,6,70.601
-1.0747402,6,70.908004
-1.0479597,6,71.053
1.0384438,100,71.190001
-0.5021527,6,71.451002
-0.5662763,6,71.729003
-1.2277952,6,72.028001
-0.19902584,6,72.554001
-0.15604182,6,72.855
-0.9358074,6,73.349015
-1.212411,6,74.113001
-0.29056156,6,74.932002
0.045766003,6,75.656003
-3.7217133,34,75.915999
-0.9165801,6,119.504001
-1.1558765,100,119.504001
-0.31676513,6,119.794002
0.12404679,6,120.37001
-0.794985,6,120.37001
1.988833,100,120.517001
-0.4126007,6,120.703003
0.5226947,100,120.978002
-0.18677092,6,121.264001
-0.2050012,6,121.264001
-0.9058661,6,121.407
-1.3598614,6,121.571
-0.54674804,6,121.837002
-0.48530632,6,122.320001
-1.0355822,6,122.613002
-0.86221534,6,123.395998
5.5889354,100,124.217998
-0.84329206,6,124.217998
-0.45182887,6,125.032998
-0.5239754,6,125.032998
-0.94877404,6,125.842
-0.1467215,6,125.842
-0.41133866,6,126.678998
0.04210265,6,126.678998
0.21425654,6,127.448001
-0.45741153,6,127.449001
1.8190523,100,127.610001
0.58650875,46,127.610001
-0.38186833,6,128.302999
-0.8326572,6,128.302999
-0.62032646,6,128.494001
-1.0114336,6,129.144998
0.054490842,6,129.146
-0.62015456,6,129.324003
2.5680563,100,129.466001
-0.43074054,6,130.007
-0.660528,6,130.164
-0.85595334,6,130.359999
-0.33876032,9,130.503
-1.2971877,6,130.889001
-0.5690873,6,131.035001
-1.3283778,6,131.181999
-0.39602977,6,131.357
0.15378487,6,131.713999
0.106107056,6,131.866998
-0.036561474,6,132.006002
-0.8364188,6,132.163002
1.1925507,80,132.358001
-0.7357053,6,132.617004
-1.2780579,6,132.762001
-0.080983356,6,132.920002
-0.8243367,6,133.07801
-0.3516233,6,133.226002
-0.17186198,6,173.207001
-0.5491012,6,173.344003
-0.9141501,6,173.485001
-1.0595212,6,173.642007
-0.90020293,6,174.031
-0.64137554,6,174.166
-0.26886225,6,174.305
-0.029473573,6,174.462002
-0.04169012,100,174.762
-0.64137256,6,174.893001
-0.985133,6,175.028002
-0.35239166,6,175.177001
-1.1532457,6,175.820001
3.8346736,100,175.820001
-0.5924891,6,175.958004
-0.6227461,6,176.638005
-0.99556553,6,176.638005
-0.7956735,6,176.779001
-0.19105321,6,177.434
0.10780954,6,177.434
-0.95275205,6,177.573003
-0.11638693,6,178.264
0.09942628,6,178.264
-0.4880377,6,179.037004
-0.32394558,6,179.037004
-0.01459574,6,179.891001
2.1160667,100,181.05
-0.82298136,6,181.874999
0.81231016,61,185.412001
4.4983244,100,185.412001
-0.78434575,6,231.800001
-0.2204632,6,232.560009
4.1807227,100,233.043001
3.743702,100,233.356001
-0.4007477,6,233.356001
4.3349175,100,233.504001
0.019688468,6,233.884001
-0.7397071,6,234.154999
-0.48414382,6,234.301001
2.2103086,55,234.478001
-0.2942641,6,234.735001
-0.48787445,6,235.001999
-0.705011,6,235.133
0.025268838,6,235.304002
-0.46177688,6,235.595999
-0.16467056,6,235.892
-0.35933703,6,236.488001
-0.256663,6,237.241002
6.7808447,100,237.698002
-0.96099854,6,237.959001
-0.5539353,18,238.254
2.3669183,100,238.554001
-0.32241648,6,238.554001
-0.47578734,6,239.083999
-1.1705683,6,239.432
-0.59344333,6,239.432
-1.0131203,6,239.960001
-0.7316499,6,240.229999
-0.7066874,6,240.229999
